Onur Ã–zer,Istanbul,Turkey,53,2019,
Orphx,Tortonto,Canada,27,2019,
Oxia,Lyon,France,42,2019,
Paquita Gordon,Rome,Italy,27,2019,
Patrick Russell,New York City,USA,28,2019,
Paul Ritch,Paris,France,40,2019,
Peggy Gou,Berlin,Germany,83,2019,
Petre Inspirescu,Bucharest,Romania,46,2019,
Pig&Dan,Palma de Mallorca,Spain,43,2019,
Pinch,Bristol,United Kingdom,23,2019,
Pional,Barcelona,Spain,31,2019,
Pleasurekraft,Washington DC,USA,47,2019,
Powder,Tokyo,Japan,47,2019,
Prosumer,Berlin,Germany,49,2019,
Ray Okpara,Mannheim,Germany,29,2019,
Rebolledo,Mexico City,Mexico,29,2019,
Regis,London,United Kingdom,48,2019,
Rhadoo,Bucharest,Romania,89,2019,
Ricardo Villalobos,Frankfurt,Germany,62,2019,
Robert Owens,Chicago,USA,34,2019,
Ron Morelli,Paris,France,43,2019,
Rrose,Berlin,Germany,48,2019,
Russell E.L. Butler,San Francisco,USA,43,2019,
Ryan Crosson,Detroit,USA,39,2019,
